player,date,league_name,team_name,opponent_name,fantasy_points,min,position,goals,assists,shots,shots_on_goal,crosses,fouls_drawn,fouls_committed,tackles_won,interceptions,yellow_cards,red_cards,penalty_kick_miss,clean_sheet,goals_allowed,accurate_passes,shots_assisted,shootout_goals,shootout_misses,game_started,year,month,day,saves,wins,penalty_kick_saved,shootout_saves,points,is_star_of_match
Álvaro Morata,2021-06-14 21:00:00,European Championship 2020,Spain,Sweden,0.0,90,F,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,2021,6,14,0.0,0.0,0.0,0.0,2.0,0
Dries Mertens,2021-06-12 21:00:00,European Championship 2020,Belgium,Russia,0.0,90,F,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,2021,6,12,0.0,0.0,0.0,0.0,5.0,0
Christian Eriksen,2021-06-12 18:00:00,European Championship 2020,Denmark,Finland,0.0,59,M,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,2021,6,12,0.0,0.0,0.0,0.0,1.0,0
Andriy Yarmolenko,2021-06-13 21:00:00,European Championship 2020,Ukraine,Netherlands,0.0,90,M,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3,0.0,0.0,0.0,0.0,1,2021,6,13,0.0,0.0,0.0,0.0,8.0,0
Diogo Jota,2021-06-15 18:00:00,European Championship 2020,Portugal,Hungary,0.0,90,M,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,2021,6,15,0.0,0.0,0.0,0.0,3.0,0
Artem Dzyuba,2021-06-12 21:00:00,European Championship 2020,Russia,Belgium,0.0,90,F,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3,0.0,0.0,0.0,0.0,1,2021,6,12,0.0,0.0,0.0,0.0,2.0,0
João Félix,2021-06-15 18:00:00,European Championship 2020,Portugal,Hungary,0.0,0,M,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2021,6,15,0.0,0.0,0.0,0.0,0.0,0
Timo Werner,2021-06-15 21:00:00,European Championship 2020,Germany,France,0.0,59,F,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,2021,6,15,0.0,0.0,0.0,0.0,1.0,0
Marcus Berg,2021-06-14 21:00:00,European Championship 2020,Sweden,Spain,0.0,90,F,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,2021,6,14,0.0,0.0,0.0,0.0,2.0,0
Bernardo Silva,2021-06-15 18:00:00,European Championship 2020,Portugal,Hungary,0.0,90,M,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,2021,6,15,0.0,0.0,0.0,0.0,3.0,0
Aaron Ramsey,2021-06-12 15:00:00,European Championship 2020,Wales,Switzerland,0.0,90,M,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0.0,0.0,0.0,0.0,1,2021,6,12,0.0,0.0,0.0,0.0,2.0,0
Paul Pogba,2021-06-15 21:00:00,European Championship 2020,France,Germany,0.0,90,M,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,2021,6,15,0.0,0.0,0.0,0.0,3.0,0
Luka Modric,2021-06-13 15:00:00,European Championship 2020,Croatia,England,0.0,90,M,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0.0,0.0,0.0,0.0,1,2021,6,13,0.0,0.0,0.0,0.0,2.0,0
Lorenzo Insigne,2021-06-11 21:00:00,European Championship 2020,Italy,Turkey,0.0,90,M,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,2021,6,11,0.0,0.0,0.0,0.0,8.0,0
Haris Seferovic,2021-06-12 15:00:00,European Championship 2020,Switzerland,Wales,0.0,90,F,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0.0,0.0,0.0,0.0,1,2021,6,12,0.0,0.0,0.0,0.0,2.0,0
Ousmane Dembélé,2021-06-15 21:00:00,European Championship 2020,France,Germany,0.0,59,F,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2021,6,15,0.0,0.0,0.0,0.0,1.0,0
Kevin Volland,2021-06-15 21:00:00,European Championship 2020,Germany,France,0.0,59,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,2021,6,15,0.0,0.0,0.0,0.0,1.0,0
Hakan Calhanoglu,2021-06-11 21:00:00,European Championship 2020,Turkey,Italy,0.0,90,M,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3,0.0,0.0,0.0,0.0,1,2021,6,11,0.0,0.0,0.0,0.0,2.0,0
Ivan Perisic,2021-06-13 15:00:00,European Championship 2020,Croatia,England,0.0,90,M,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0.0,0.0,0.0,0.0,1,2021,6,13,0.0,0.0,0.0,0.0,2.0,0
Olivier Giroud,2021-06-15 21:00:00,European Championship 2020,France,Germany,0.0,0,F,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2021,6,15,0.0,0.0,0.0,0.0,0.0,0
Marek Hamsik,2021-06-14 18:00:00,European Championship 2020,Slovakia,Poland,0.0,90,M,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0.0,0.0,0.0,0.0,1,2021,6,14,0.0,0.0,0.0,0.0,5.0,0
Burak Yilmaz,2021-06-11 21:00:00,European Championship 2020,Turkey,Italy,0.0,90,F,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3,0.0,0.0,0.0,0.0,1,2021,6,11,0.0,0.0,0.0,0.0,2.0,0
Yussuf Poulsen,2021-06-12 18:00:00,European Championship 2020,Denmark,Finland,0.0,90,F,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0.0,0.0,0.0,0.0,1,2021,6,12,0.0,0.0,0.0,0.0,4.0,0
Georginio Wijnaldum,2021-06-13 21:00:00,European Championship 2020,Netherlands,Ukraine,0.0,90,M,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0.0,0.0,0.0,0.0,1,2021,6,13,0.0,0.0,0.0,0.0,7.0,0
Breel Embolo,2021-06-12 15:00:00,European Championship 2020,Switzerland,Wales,0.0,90,F,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0.0,0.0,0.0,0.0,1,2021,6,12,0.0,0.0,0.0,0.0,6.0,1
Alexander Isak,2021-06-14 21:00:00,European Championship 2020,Sweden,Spain,0.0,90,F,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,2021,6,14,0.0,0.0,0.0,0.0,2.0,0
Denis Cheryshev,2021-06-12 21:00:00,European Championship 2020,Russia,Belgium,0.0,59,M,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,2021,6,12,0.0,0.0,0.0,0.0,1.0,0
Andrea Belotti,2021-06-11 21:00:00,European Championship 2020,Italy,Turkey,0.0,59,F,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2021,6,11,0.0,0.0,0.0,0.0,1.0,0
Patrik Schick,2021-06-14 15:00:00,European Championship 2020,Czech Republic,Scotland,0.0,90,F,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,2021,6,14,0.0,0.0,0.0,0.0,11.0,1
Marcel Sabitzer,2021-06-13 18:00:00,European Championship 2020,Austria,North Macedonia,0.0,90,M,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0.0,0.0,0.0,0.0,1,2021,6,13,0.0,0.0,0.0,0.0,5.0,0
Ferran Torres,2021-06-14 21:00:00,European Championship 2020,Spain,Sweden,0.0,90,M,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,2021,6,14,0.0,0.0,0.0,0.0,3.0,0
Phil Foden,2021-06-13 15:00:00,European Championship 2020,England,Croatia,0.0,90,M,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,2021,6,13,0.0,0.0,0.0,0.0,2.0,0
Thorgan Hazard,2021-06-12 21:00:00,European Championship 2020,Belgium,Russia,0.0,90,M,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,2021,6,12,0.0,0.0,0.0,0.0,3.0,0
Tomas Pekhart,2021-06-14 15:00:00,European Championship 2020,Czech Republic,Scotland,0.0,0,F,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2021,6,14,0.0,0.0,0.0,0.0,0.0,0
Sasa Kalajdzic,2021-06-13 18:00:00,European Championship 2020,Austria,North Macedonia,0.0,59,F,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,2021,6,13,0.0,0.0,0.0,0.0,1.0,0
Harry Wilson,2021-06-12 15:00:00,European Championship 2020,Wales,Switzerland,0.0,0,M,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,2021,6,12,0.0,0.0,0.0,0.0,0.0,0
Federico Bernardeschi,2021-06-11 21:00:00,European Championship 2020,Italy,Turkey,0.0,59,M,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2021,6,11,0.0,0.0,0.0,0.0,1.0,0
Mario Pasalic,2021-06-13 15:00:00,European Championship 2020,Croatia,England,0.0,59,M,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,2021,6,13,0.0,0.0,0.0,0.0,1.0,0
Martin Braithwaite,2021-06-12 18:00:00,European Championship 2020,Denmark,Finland,0.0,90,F,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0.0,0.0,0.0,0.0,1,2021,6,12,0.0,0.0,0.0,0.0,2.0,0
Mario Gavranovic,2021-06-12 15:00:00,European Championship 2020,Switzerland,Wales,0.0,59,F,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,2021,6,12,0.0,0.0,0.0,0.0,1.0,0
John McGinn,2021-06-14 15:00:00,European Championship 2020,Scotland,Czech Republic,0.0,90,M,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0.0,0.0,0.0,0.0,1,2021,6,14,0.0,0.0,0.0,0.0,2.0,0
Vladimír Darida,2021-06-14 15:00:00,European Championship 2020,Czech Republic,Scotland,0.0,90,M,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,2021,6,14,0.0,0.0,0.0,0.0,3.0,0
Mikel Oyarzabal,2021-06-14 21:00:00,European Championship 2020,Spain,Sweden,0.0,59,F,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2021,6,14,0.0,0.0,0.0,0.0,1.0,0
Robin Quaison,2021-06-14 21:00:00,European Championship 2020,Sweden,Spain,0.0,59,M,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2021,6,14,0.0,0.0,0.0,0.0,1.0,0
Luuk de Jong,2021-06-13 21:00:00,European Championship 2020,Netherlands,Ukraine,0.0,59,F,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,2021,6,13,0.0,0.0,0.0,0.0,1.0,0
Marcus Thuram,2021-06-15 21:00:00,European Championship 2020,France,Germany,0.0,0,F,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2021,6,15,0.0,0.0,0.0,0.0,0.0,0
Emil Forsberg,2021-06-14 21:00:00,European Championship 2020,Sweden,Spain,0.0,90,M,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,2021,6,14,0.0,0.0,0.0,0.0,3.0,0
Aleksandr Golovin,2021-06-12 21:00:00,European Championship 2020,Russia,Belgium,0.0,90,M,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3,0.0,0.0,0.0,0.0,1,2021,6,12,0.0,0.0,0.0,0.0,2.0,0
Jack Grealish,2021-06-13 15:00:00,European Championship 2020,England,Croatia,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2021,6,13,0.0,0.0,0.0,0.0,0.0,0
